국어	수학	과학
27	81	82
26	88	21
61	48	64
91	27	87
37	89	37
46	22	1
55	54	37
75	94	41
78	86	75
10	65	17
79	38	97
18	55	8
100	15	43
29	15	28
24	93	18
5	57	8
81	79	57
84	89	16
82	5	61
90	11	32
32	66	94
66	60	97
34	5	69
36	83	32
51	33	66
22	45	89
81	53	69
64	82	86
55	36	82
59	22	21
40	41	74
25	89	46
73	42	48
89	26	75
64	40	85
12	53	11
82	68	46
18	20	27
1	1	8
31	4	38
49	20	85
51	6	56
14	39	9
90	30	98
41	15	50
3	52	87
5	31	48
21	14	87
35	87	15
71	77	58
46	95	93
38	25	97
3	67	86
61	93	38
72	11	100
23	41	12
34	33	53
39	69	29
22	38	13
3	41	2
5	26	91
95	44	7
12	15	43
48	22	50
33	70	82
28	75	23
21	93	47
94	45	19
39	3	74
61	64	75
46	22	17
24	75	51
32	34	42
72	22	31
94	44	52
17	58	86
66	84	39
12	31	69
26	38	33
4	38	56
3	24	51
76	82	2
91	27	26
80	100	25
10	47	21
56	78	82
79	8	82
73	55	88
83	76	44
88	21	52
76	15	19
85	30	47
50	49	89
28	95	4
35	88	85
61	40	34
79	71	60
39	57	32
16	74	20
32	70	36
34	19	12
60	47	99
100	63	49
48	73	95
40	73	66
92	57	10
14	80	10
67	78	26
28	47	94
71	78	1
68	42	99
31	11	91
18	6	95
86	69	92
78	99	48
89	86	89
99	68	93
8	84	20
5	73	38
84	78	90
33	31	60
80	75	76
16	97	94
36	62	82
25	64	3
28	22	12
56	40	12
88	53	94
82	5	62
85	57	13
13	97	93
61	90	24
4	54	36
8	35	82
83	59	3
91	39	97
48	41	98
55	31	20
31	16	27
92	76	20
22	28	39
88	92	28
64	42	15
99	48	33
52	25	24
91	55	2
42	57	83
71	70	7
55	51	100
73	34	8
73	91	76
40	43	20
50	15	51
76	84	51
96	77	33
34	14	2
71	49	23
91	86	32
31	46	10
84	63	97
39	72	58
35	15	67
98	82	17
5	10	31
53	39	41
79	7	22
93	56	32
78	50	56
81	25	73
66	96	75
79	10	82
59	38	13
2	45	73
34	83	15
4	50	96
42	22	81
62	67	61
100	34	2
9	80	47
16	65	19
83	45	85
70	20	33
99	75	86
45	71	62
80	51	53
18	7	23
7	12	93
58	98	21
91	80	29
79	84	14
64	5	10
25	48	73
92	21	47
97	8	62
27	24	71
38	94	52
78	87	5
47	48	71
68	41	11
99	12	54
20	41	30
84	75	98
27	94	40
33	2	23
38	33	20
77	88	96
50	69	92
45	78	97
11	96	83
80	85	77
43	82	57
67	94	36
43	2	44
10	11	77
51	25	40
41	84	10
31	95	83
96	73	54
84	50	3
62	6	52
84	77	85
29	40	37
22	60	64
60	60	64
63	86	81
1	14	77
59	37	51
97	41	33
72	90	29
46	69	33
12	64	24
81	6	4
74	13	9
54	1	16
24	42	6
22	20	14
22	96	78
26	80	49
73	37	95
74	52	97
32	18	83
24	38	96
92	51	32
48	8	23
5	51	46
77	39	58
66	71	93
42	73	71
78	70	27
4	95	86
57	55	23
51	12	86
41	13	13
89	50	44
93	14	42
74	32	3
92	71	13
38	21	70
6	56	2
88	66	86
15	72	68
6	17	87
47	72	49
91	75	57
71	84	92
67	18	16
17	75	98
3	50	59
93	95	27
15	71	79
87	67	65
39	67	45
31	63	80
6	56	15
60	2	43
73	99	26
32	11	43
59	21	52
8	96	7
26	67	47
42	64	37
69	73	19
62	13	95
4	44	89
16	56	98
66	16	57
31	21	36
62	54	87
89	75	50
85	17	99
40	91	95
70	27	9
52	21	67
42	54	74
35	69	37
48	15	60
5	23	27
72	80	39
27	69	66
12	67	52
69	43	56
47	69	37
37	32	53
32	22	70
70	55	87
80	76	52
19	29	45
20	22	56
66	95	3
2	33	26
59	59	68
61	98	52
21	17	13
44	8	4
69	15	73
90	94	38
82	19	83
59	61	100
15	90	61
62	46	56
67	32	91
22	75	12
64	75	53
36	10	91
26	50	70
77	94	83
34	20	4
72	80	62
16	49	70
97	32	65
32	85	59
18	61	38
99	98	87
3	90	5
78	55	94
46	73	64
38	43	15
26	32	24
72	5	42
11	7	25
51	80	74
13	5	55
20	55	97
14	95	89
71	8	3
48	80	12
91	11	53
58	42	57
16	55	68
64	51	16
52	21	74
13	63	96
33	93	79
87	52	77
1	48	32
85	52	34
4	57	93
54	23	50
51	84	56
62	95	67
55	78	17
54	70	80
45	83	35
45	87	17
20	55	42
10	15	84
71	22	16
87	86	52
6	52	75
3	32	80
95	14	78
23	45	74
60	11	8
46	94	68
24	33	74
4	42	14
91	31	88
85	79	62
88	86	30
93	14	58
5	15	67
81	41	10
84	82	8
93	38	92
18	90	19
44	49	78
26	93	82
51	73	30
15	63	66
96	40	25
96	91	38
68	74	90
35	30	30
8	8	34
50	6	71
29	17	6
81	13	47
19	75	6
21	75	51
35	13	99
13	46	65
95	94	83
83	42	38
87	94	60
8	90	14
3	42	82
39	14	56
82	77	70
9	76	44
44	81	35
34	53	52
51	99	53
88	9	76
32	28	23
30	3	65
90	77	45
17	46	53
91	86	22
82	34	16
20	63	27
42	97	28
40	38	5
84	33	19
63	86	73
50	48	12
32	22	61
43	96	33
77	8	7
55	67	51
13	26	4
86	35	97
58	8	84
48	14	17
88	44	63
95	80	45
56	5	42
35	67	86
33	30	10
63	94	69
63	57	18
5	12	15
2	13	78
26	30	24
64	50	23
58	20	51
41	4	12
35	22	87
30	5	36
93	40	56
67	8	96
33	43	24
24	41	78
9	90	70
5	50	94
46	67	26
62	33	98
50	89	99
37	87	81
66	88	84
69	87	54
6	89	28
68	58	22
41	13	11
9	11	12
40	59	97
94	74	100
48	43	62
81	16	87
27	82	78
54	74	95
16	27	43
12	63	8
13	5	39
99	33	90
10	40	92
46	17	26
49	51	88
74	13	49
13	62	78
93	36	38
62	49	24
44	68	20
75	13	88
80	59	13
63	23	27
41	14	30
94	35	70
28	54	93
81	98	24
60	34	64
93	21	34
31	75	21
51	64	97
3	91	54
64	85	50
22	52	11
78	20	30
54	90	26
54	24	44
70	10	3
19	54	19
43	63	43
91	49	80
44	66	8
5	33	85
24	17	88
40	38	46
95	8	25
61	82	88
61	92	2
84	80	61
39	17	26
76	43	18
95	96	9
55	99	46
4	49	96
55	100	63
1	58	2
34	52	9
83	16	53
8	48	32
41	27	87
59	70	16
18	85	52
64	99	2
19	61	8
12	21	9
50	100	16
51	50	69
34	11	83
8	81	58
95	21	74
3	67	80
60	37	24
73	96	35
83	76	34
33	12	5
61	99	54
55	67	3
28	1	24
25	97	81
31	6	19
73	66	8
92	95	52
12	88	7
89	80	34
78	35	6
64	1	27
97	38	31
16	54	81
15	98	49
86	20	40
76	83	46
50	97	94
90	65	79
91	21	70
61	43	11
62	61	93
31	97	8
32	28	49
9	51	72
61	69	3
11	8	42
96	77	13
64	44	60
38	22	15
47	7	80
85	69	94
59	50	35
23	2	41
25	82	51
76	82	70
36	76	35
14	76	55
3	39	49
51	27	65
65	35	32
16	71	18
11	65	91
5	5	56
2	60	92
49	17	90
33	30	81
48	64	2
57	62	68
5	36	14
71	53	49
4	68	48
